count_score,SCORE,MEASURE
124,0,Equity - Inpatient SHEP: White-Nonwhite - Communication About Medication
124,0,Equity - Inpatient SHEP: White-Nonwhite - Communication with Doctors
124,0,Equity - Inpatient SHEP: White-Nonwhite - Communication with Nurses
124,0,Equity - Inpatient SHEP: White-Nonwhite - Discharge Information
124,0,Equity - Inpatient SHEP: White-Nonwhite - Overall Rating of Hospital
124,0,Equity - Inpatient SHEP: White-Nonwhite - Pain Management
124,0,Equity - Inpatient SHEP: White-Nonwhite - Quietness of the Hospital Environment
124,0,Equity - Inpatient SHEP: White-Nonwhite - Responsiveness of Hospital Staff
124,0,Equity - Inpatient SHEP: White-Nonwhite - Willingness to Recommend
124,0,Equity - Outpatient SHEP: Male-Female - Getting Care Quickly
124,0,Equity - Outpatient SHEP: Male-Female - Getting Needed Care
124,0,Equity - Outpatient SHEP: Male-Female - How Well Doctors/Nurses Communicate
124,0,Equity - Outpatient SHEP: Male-Female - Outpatient Shared Decision Making
124,0,Equity - Outpatient SHEP: Male-Female - Overall Rating of Personal Doctor/Nurse
124,0,Equity - Outpatient SHEP: Male-Female - Overall Rating of VA Healthcare
124,0,Equity - Outpatient SHEP: Male-Female - Overall Rating of VA Specialist
124,0,Equity - Outpatient SHEP: White-Nonwhite - Getting Care Quickly
124,0,Equity - Outpatient SHEP: White-Nonwhite - Getting Needed Care
124,0,Equity - Outpatient SHEP: White-Nonwhite - How Well Doctors/Nurses Communicate
124,0,Equity - Outpatient SHEP: White-Nonwhite - Outpatient Shared Decision Making
124,0,Equity - Outpatient SHEP: White-Nonwhite - Overall Rating of Personal Doctor/Nurse
124,0,Equity - Outpatient SHEP: White-Nonwhite - Overall Rating of VA Healthcare
124,0,Equity - Outpatient SHEP: White-Nonwhite - Overall Rating of VA Specialist
124,0,Patient-Centeredness - Inpatient SHEP - Cleanliness of Hospital Environment
124,0,Patient-Centeredness - Inpatient SHEP - Communication About Medication
124,0,Patient-Centeredness - Inpatient SHEP - Communication with Doctors
124,0,Patient-Centeredness - Inpatient SHEP - Communication with Nurses
124,0,Patient-Centeredness - Inpatient SHEP - Discharge Information
124,0,Patient-Centeredness - Inpatient SHEP - Overall Rating of Hospital Stay
124,0,Patient-Centeredness - Inpatient SHEP - Pain Management
124,0,Patient-Centeredness - Inpatient SHEP - Quietness of the Hospital Environment
124,0,Patient-Centeredness - Inpatient SHEP - Willingness to Recommend
124,0,Patient-Centeredness - Outpatient SHEP - How Well Docs/Nurses Communicate
124,0,Patient-Centeredness - Outpatient SHEP - Outpatient Shared Decision Making
124,0,Patient-Centeredness - Outpatient SHEP - Overall Rating of Healthcare in last 12 Months
124,0,Patient-Centeredness - Outpatient SHEP - Overall Rating of Personal Doc/Nurse
124,0,Patient-Centeredness - Outpatient SHEP - Overall Rating of VA Specialist
57,0,Safety - Healthcare associated infections - CLAB infection rate
5,1,Safety - Healthcare associated infections - CLAB infection rate
5,2,Safety - Healthcare associated infections - CLAB infection rate
23,3,Safety - Healthcare associated infections - CLAB infection rate
21,4,Safety - Healthcare associated infections - CLAB infection rate
13,5,Safety - Healthcare associated infections - CLAB infection rate
15,0,Safety - Healthcare associated infections - MRSA infection rate
2,3,Safety - Healthcare associated infections - MRSA infection rate
80,4,Safety - Healthcare associated infections - MRSA infection rate
27,5,Safety - Healthcare associated infections - MRSA infection rate
60,0,Safety - Healthcare associated infections - VAP infection rate
11,1,Safety - Healthcare associated infections - VAP infection rate
9,2,Safety - Healthcare associated infections - VAP infection rate
15,3,Safety - Healthcare associated infections - VAP infection rate
15,4,Safety - Healthcare associated infections - VAP infection rate
14,5,Safety - Healthcare associated infections - VAP infection rate
124,0,Safety - Hospital acquired pressure ulcer rate
124,0,Safety - Incorrect Surgery
33,0,Safety - Surgical Care Improvement Project
53,4,Safety - Surgical Care Improvement Project
38,5,Safety - Surgical Care Improvement Project
124,0,Timeliness - Inpatient responsiveness
124,0,Timeliness - Outpatient responsiveness - Getting needed outpatient care
124,0,Timeliness - Outpatient responsiveness - Getting outpatient care quickly
